x, y
1.509575923392613, 11
3.3255813953488373, 14.726618705035971
1.5779753761969904, 11.266187050359711
1.6361149110807114, 11.503597122302159
1.697674418604651, 11.733812949640289
1.7626538987688098, 11.964028776978417
1.8242134062927495, 12.18705035971223
1.8926128590971272, 12.417266187050359
1.9610123119015048, 12.597122302158274
2.0225718194254445, 12.805755395683454
2.0875512995896033, 13.014388489208633
2.1593707250342, 13.194244604316546
2.234610123119015, 13.39568345323741
2.2961696306429547, 13.568345323741006
2.3611491108071134, 13.719424460431654
2.43296853625171, 13.877697841726619
2.518467852257182, 14.035971223021583
2.6005471956224353, 14.172661870503598
2.67578659370725, 14.280575539568346
2.761285909712722, 14.381294964028777
2.8399452804377567, 14.46043165467626
2.9186046511627906, 14.53956834532374
3.021203830369357, 14.60431654676259
3.110123119015048, 14.661870503597122
3.2229822161422708, 14.712230215827338